TYPE,NAME,ADDRESS,COMM_CODE
Cemetery,Union Cemetery,SPILLER RD SE & 27 AV SE,MNI
Indoor Pool,University Of Calgary - Kinesiology Bldg B,10 UNIVERSITY GT NW,UOC
Recycle Depot,South Trail,5125 126 AV SE,ESH
Recycle Depot,Southcentre,11011 Bonaventure DR SE,WIL
Indoor Pool,Southland Leisure Centre,2000 SOUTHLAND DR SW,PAL
Recycle Depot,Horizon,3550 32 AV NE,HOR
Recycle Depot,Huntington Hills,7020 4 ST NW,HUN
Arena,Huntington Hills Community Association,520 78 AV NW,HUN
Arena,E.Whalen & J.Kryczka Arenas in Southland Leisure Cntr,2000 SOUTHLAND DR SW,PAL
Off Leash Dog Area,EDGEMONT,7950 EDGEMONT BV NW,EDG
Off Leash Dog Area,EDGEMONT,175 EDGEDALE DR NW,EDG
Off Leash Dog Area,EDGEMONT,91 EDGEPARK BV NW,EDG
Off Leash Dog Area,ELBOW PARK,800 34 AV SW,EPK
Off Leash Dog Area,ELBOYA,521 LANSDOWNE AV SW,EYA
EMS Station,EMS Headquarters,3705 35 ST NE,HOR
EMS Station,EMS Station 1,450 1 ST SE,DNC
EMS Station,EMS Station 11,5536 4 ST SW,WND
EMS Station,EMS Station 12,123 44 ST SE,FHT
EMS Station,EMS Station 14,9840 HORTON RD SW,HAY
EMS Station,EMS Station 15,5010 BOWNESS RD NW,MON
EMS Station,EMS Station 17,3740 32 AV NW,VAR
EMS Station,EMS Station 18,415 68 AV NW,HUN
EMS Station,EMS Station 19,13807 PARKLAND BV SE,PKL
EMS Station,EMS Station 2,1010 10 AV SW,BLN
EMS Station,EMS Station 20,2800 PEACEKEEPERS WY SW,LPK
EMS Station,EMS Station 21,209 SILVERGROVE DR NW,SIL
EMS Station,EMS Station 22,7199 TEMPLE DR NE,TEM
EMS Station,EMS Station 23,2727 26 AV SE,DOV
EMS Station,EMS Station 24,2607 106 AV SW,CED
EMS Station,EMS Station 26,450 MIDPARK WY SE,MID
EMS Station,EMS Station 28,7925 EDGEMONT BV NW,EDG
EMS Station,EMS Station 3,1807 MACLEOD TR SE,BLN
EMS Station,EMS Station 30,6 MCKENZIE TOWNE GA SE,MCT
EMS Station,EMS Station 31,11955 COUNTRY VILLAGE LI NE,CHV
EMS Station,EMS Station 32,29 SADDLE CREEK COVE NE,SAD
EMS Station,EMS Station 33,7055 ELKTON DR SW,SPH
EMS Station,EMS Station 34,9 ROYAL BIRCH HILL NW,ROY
EMS Station,EMS Station 4,16 MONCTON RD NE,WIN
EMS Station,EMS Station 5,4824 4 ST NW,HPK
EMS Station,EMS Station 6,1940 WESTMOUNT BV NW,WHL
EMS Station,EMS Station 8,1720 45 ST SW,RCK
EMS Station,EMS Station 9,2515 78 AV SE,OGD
Golf Course,Earl Grey Golf Club,6540 20 ST SW,GPK
Landfill,East Calgary Landfill,68 ST and 17 AV SE,09E
Haz Good Drop,East Calgary Landfill,68 ST and 17 AV SE,09E
Arena,East Calgary Twin Arenas,299 ERINWOOD DR SE,ERI
Indoor Pool,Eau Claire YMCA,101 3 ST SW,EAU
City Park,Edgemont Ravines,EDGEBROOK DR NW & EDGEBROOK BV NW,EDG
City Park,Edworthy Park / Douglas Fir Trail,5050 SPRUCE DR SW,WLD
Golf Course,Elbow Springs Golf Club,GLENMORE TR SW (Elbow Valley),06A
City Park,Elliston Regonal Park,17AV SE & 60 ST SE,09E
Arena,Ernie Starr Arena,4808 14 AV SE,FLN
Off Leash Dog Area,FAIRVIEW,7510 FLINT RD SE,FAI
Off Leash Dog Area,FAIRVIEW,128 FYFFE RD SE,FAI
Off Leash Dog Area,FALCONRIDGE,MCKNIGHT BV NE / 68 ST NE,FAL
Arena,Fairview Community Association Arena,8038 FAIRMONT DR SE,FAI
Arena,Family Leisure Centre,11150 BONAVENTURE DR SE,WIL
Arena,Father David Bauer/Norma Bush Arenas,2424 UNIVERSITY DR NW,UOC
Haz Good Drop,Fire Hall 17,3740 32 AV NW,VAR
Haz Good Drop,Fire Hall 20,2800 Peacekeepers WY SW,LPK
Haz Good Drop,Fire Hall 24,2607 106 AV SW,CED
Haz Good Drop,Fire Hall 26,450 Midpark WY SE,MID
Haz Good Drop,Fire Hall 4,1991 18 AV NE,VIS
Fire Station,Fire Station 1,450 1 ST SE,DNC
Off Leash Dog Area,HUNTINGTON HILLS,303 BEDDINGTON BV NE,HUN
Off Leash Dog Area,HUNTINGTON HILLS,7409 HUNTERVIEW DR NW,HUN
Off Leash Dog Area,HUNTINGTON HILLS,8111 BEDDINGTON BV NW,HUN
Off Leash Dog Area,HUNTINGTON HILLS,105R HUNTSTROM DR NE,HUN
Recycle Depot,Hamptons,1000 Hamptons DR NW,HAM
Golf Course,Harvest Hills Golf Course,1450 HARVEST HILLS DR NE,HAR
City Park,Haultain Park,225 15 AV SW,BLN
Golf Course,Heatherglen Golf Course,100 ST & GLENMORE TR SE,09K
Golf Course,Heritage Pointe Golf Club,S HWY 2 E DUNBOW RD (DeWinton),LEG
Golf Course,Highland Golf & Country Club,4304 3 ST NW,HPK
Outdoor Pool,Highwood Outdoor & Wading Pool,25 HOLMWOOD AV NW,HIW
Recycle Depot,Hillhurst/Sunnyside,1320 5 AV NW,HIL
Off Leash Dog Area,09E,2020 60 ST SE,09E
Off Leash Dog Area,09E,1821 68 ST SE,09E
Off Leash Dog Area,ALBERT PARK/RADISSON HEIGHTS,1635 DEERFOOT TR SE,ALB
Off Leash Dog Area,ALTADORE,5030 14 ST SW,ALT
Off Leash Dog Area,AUBURN BAY,16970 56 ST SE,AUB
Recycle Depot,Acadia,383 Heritage DR SE,ACA
Athletic Park,Acadia Athletic Park,315 90 AV SE,ACA
Indoor Pool,Acadia Pool & Fitness Centre,9009 FAIRMOUNT DR SE,ACA
Arena,Acadia Recreation Centre,240 90 AV SE,ACA
Police Service,Airport Unit Police Station,2000 AIRPORT RD NE,CIA
Public Toilet,Automated Public Toilet,7 ST/ 17 AV SW,BLN
Off Leash Dog Area,BEDDINGTON HEIGHTS,1052R BERKLEY DR NW,BED
Off Leash Dog Area,COLLINGWOOD,1612 CAYUGA DR NW,COL
Off Leash Dog Area,COLLINGWOOD,1924 CANBERRA RD NW,COL
Off Leash Dog Area,CRESCENT HEIGHTS,425 1 ST NE,CRE
Arena,Calgary Centennial Arenas,2390 47 AV SW,ALT
Golf Course,Calgary Elks Lodge & Golf Club,2502 6 ST NE,WIN
Indoor Pool,Calgary Glencoe Club,636 29 AV SW,EPK
Golf Course,Calgary Golf & Country Club,ELBOW DR & 59 AV SW,WND
Indoor Pool,Calgary Jewish Centre,1607 90 AV SW,PUM
Indoor Pool,Calgary South YMCA,11 HADDON RD SW,HAY
Arena,Calgary Winter Club,4611 14ST NW,NPK
Outdoor Pool,Canmore Park Wading Pool,2836 CANMORE RD NW,CHW
Golf Course,Canyon Meadows Golf & Country Club,12501 14 ST SW,WOO
